event,fighter_a,fighter_b,odds_a,odds_b,best_odds_a,best_odds_b,num_books
2026-07-31T21:10:00Z,Montana De La Rosa,Tatiana Postarnakova,+205,-247,+210,-247,2
2026-07-31T21:40:00Z,Jonathan Piersma,Omar El Dafrawy,-180,+157,-180,+157,2
2026-07-31T22:10:00Z,Sean Gauci,Allan Begosso,-300,+245,-300,+250,2
2026-07-31T22:40:00Z,Raufeon Stots,Lazaro Dayron,+130,-150,+132,-150,2
2026-07-31T23:40:00Z,Amru Magomedov,Joel Alvarez,-4000,+1000,-2500,+1200,2
2026-08-01T00:10:00Z,Dakota Ditcheva,Denise Kielholtz,-10000,+2000,-4000,+2000,2
2026-08-01T00:40:00Z,Usman Nurmagomedov,Archie Colgan,-550,+415,-490,+415,2
2026-08-01T01:00:00Z,Aristides Vinicius Dias,Alexsandro Cangaty,-400,+300,-400,+300,1
2026-08-01T01:00:00Z,Cláudio Nardo,Gabriel Vinicius,,,,,0
2026-08-01T01:00:00Z,Daniel Araujo,Victor Gabriel,-550,+400,-550,+400,1
2026-08-01T01:00:00Z,Juan Pablo Vieira,Eduardo Terencio,-1000,+661,-1000,+661,1
2026-08-01T01:00:00Z,Rayan Kadosoe,Felipe Rosa,+157,-180,+157,-180,1
2026-08-01T01:00:00Z,Leonardo Cerboni,Wily Pereira,-240,+200,-240,+200,1
2026-08-01T02:00:00Z,Herbeth Sousa,Paulo Portillo,-220,+180,-220,+180,1
2026-08-01T14:00:00Z,Mark Vologdin,Borislav Nikolić,+156,-194,+160,-183,6
2026-08-01T14:00:00Z,Daniel Schwindt,David Hosek,-170,+140,-170,+140,1
2026-08-01T14:00:00Z,David Kozma,David Zawada,-240,+190,-240,+190,1
2026-08-01T14:00:00Z,Jakub Tichota,Firas Daud,+115,-145,+115,-145,1
2026-08-01T14:00:00Z,Nina Milošević,Hailey Cowan,-500,+375,-500,+390,6
2026-08-01T14:00:00Z,Harun Kurt,Roman Paulus,-115,-115,-115,-115,1
2026-08-01T14:00:00Z,Will Fleury,Makhmud Muradov,-210,+170,-210,+170,1
2026-08-01T14:00:00Z,Marina Spasić,Stephanie Luciano,+267,-330,+275,-315,6
2026-08-01T16:00:00Z,Hafeni Nafuka,Tomáš Mudroch,,,,,0
2026-08-01T16:00:00Z,Jakub Batfalsky,Vojtěch Kohl,,,,,0
2026-08-01T17:00:00Z,Lucia Szabová,Lucie Pudilova,,,,,0
2026-08-01T17:00:00Z,Miloš Janičić,Noah Gugnon,+100,-120,+100,-115,6
2026-08-01T22:00:00Z,Aleksandar Rakic,Marcin Tybura,-360,+289,-350,+295,7
2026-08-01T22:00:00Z,Jovan Leka,Alexander Poppeck,-260,+215,-245,+220,7
2026-08-01T22:00:00Z,Dennis Buzukja,Bogdan Grad,+165,-190,+180,-190,7
2026-08-01T22:00:00Z,Uros Medic,Daniel Rodriguez,-400,+316,-395,+316,6
2026-08-01T22:00:00Z,Dusko Todorovic,Robert Valentin,+138,-158,+145,-158,7
2026-08-01T22:00:00Z,Vlasto Cepo,Gilbert Urbina,-360,+289,-330,+289,7
2026-08-01T22:00:00Z,Jan Blachowicz,Navajo Stirling,+270,-335,+273,-320,7
2026-08-01T22:00:00Z,Mateusz Rebecki,Kyle Prepolec,-700,+505,-650,+505,7
2026-08-01T22:00:00Z,L'udovit Klein,Tofiq Musayev,-275,+226,-235,+226,7
