EVENT,DATE,BOUT,FIGHTER_A,FIGHTER_B,WINNER,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,FIGHT_URL
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Jiri Prochazka vs. Carlos Ulberg,Jiri Prochazka,Carlos Ulberg,,,Light Heavyweight,,,,
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Joshua Van vs. Tatsuro Taira,Joshua Van,Tatsuro Taira,,,Flyweight,,,,
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Curtis Blaydes vs. Josh Hokit,Curtis Blaydes,Josh Hokit,,,Heavyweight,,,,
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Dominick Reyes vs. Johnny Walker,Dominick Reyes,Johnny Walker,,,Light Heavyweight,,,,
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Azamat Murzakanov vs. Paulo Costa,Azamat Murzakanov,Paulo Costa,,,Light Heavyweight,,,,
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Patricio Freire vs. Aaron Pico,Patricio Freire,Aaron Pico,,,Featherweight,,,,
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Cub Swanson vs. Nate Landwehr,Cub Swanson,Nate Landwehr,,,Featherweight,,,,
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Mateusz Gamrot vs. Esteban Ribovics,Mateusz Gamrot,Esteban Ribovics,,,Lightweight,,,,
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Kevin Holland vs. Randy Brown,Kevin Holland,Randy Brown,,,Welterweight,,,,
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Tatiana Suarez vs. Loopy Godinez,Tatiana Suarez,Loopy Godinez,,,Women's Strawweight,,,,
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Kelvin Gastelum vs. Vicente Luque,Kelvin Gastelum,Vicente Luque,,,Middleweight,,,,
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Renato Moicano vs. Chris Duncan,Renato Moicano,Chris Duncan,Renato Moicano,W/L,Lightweight,,2,3:14,http://www.ufcstats.com/fight-details/d69bd8e53ec858dc
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Virna Jandiroba vs. Tabatha Ricci,Virna Jandiroba,Tabatha Ricci,Virna Jandiroba,W/L,Women's Strawweight,,3,5:00,http://www.ufcstats.com/fight-details/721642e7de112e9e
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Abdul Rakhman Yakhyaev vs. Brendson Ribeiro,Abdul Rakhman Yakhyaev,Brendson Ribeiro,Abdul Rakhman Yakhyaev,W/L,Light Heavyweight,,1,2:52,http://www.ufcstats.com/fight-details/ad487d1c6141d90a
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Ethyn Ewing vs. Rafael Estevam,Ethyn Ewing,Rafael Estevam,Ethyn Ewing,W/L,Bantamweight,,3,1:44,http://www.ufcstats.com/fight-details/fef80c98b2fba70c
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Tommy McMillen vs. Manolo Zecchini,Tommy McMillen,Manolo Zecchini,Tommy McMillen,W/L,Featherweight,,1,3:57,http://www.ufcstats.com/fight-details/c27bec45d5a29a2c
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Jose Delano vs. Robert Ruchala,Jose Delano,Robert Ruchala,Jose Delano,W/L,Featherweight,,3,5:00,http://www.ufcstats.com/fight-details/7924f10aac3543de
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Thomas Petersen vs. Guilherme Pat,Thomas Petersen,Guilherme Pat,Thomas Petersen,W/L,Heavyweight,,3,5:00,http://www.ufcstats.com/fight-details/0760bc02280574dd
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Alessandro Costa vs. Stewart Nicoll,Alessandro Costa,Stewart Nicoll,Alessandro Costa,W/L,Flyweight,,2,4:56,http://www.ufcstats.com/fight-details/af2a9d47ca8115e4
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Darrius Flowers vs. Lando Vannata,Darrius Flowers,Lando Vannata,Darrius Flowers,W/L,Lightweight,,2,0:52,http://www.ufcstats.com/fight-details/9c9c26679701b84d
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Alice Pereira vs. Hailey Cowan,Alice Pereira,Hailey Cowan,Alice Pereira,W/L,Women's Bantamweight,,2,4:24,http://www.ufcstats.com/fight-details/74bb036ef0493bf7
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Tresean Gore vs. Azamat Bekoev,Tresean Gore,Azamat Bekoev,Tresean Gore,W/L,Middleweight,,3,3:27,http://www.ufcstats.com/fight-details/e284a194fb4648a9
