EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND
UFC Freedom 250,Justin Gaethje vs. Ilia Topuria,Total,Ilia Topuria,10,97 of 16291 of 192,59%47%,111 of 177119 of 228,1 of 30 of 5,33%0%,00,00,2:321:32,,,,,,
UFC Freedom 250,Justin Gaethje vs. Ilia Topuria,Total,Ilia Topuria,00,29 of 5832 of 68,50%47%,29 of 5835 of 71,0 of 00 of 3,---0%,00,00,0:000:00,,,,,,
UFC Freedom 250,Justin Gaethje vs. Ilia Topuria,Total,Ilia Topuria,10,44 of 6012 of 35,73%34%,52 of 6913 of 37,0 of 00 of 1,---0%,00,00,2:020:00,,,,,,
UFC Freedom 250,Justin Gaethje vs. Ilia Topuria,Total,Ilia Topuria,00,7 of 1522 of 36,46%61%,10 of 1831 of 46,0 of 10 of 0,0%---,00,00,0:050:47,,,,,,
UFC Freedom 250,Justin Gaethje vs. Ilia Topuria,Total,Ilia Topuria,00,17 of 2925 of 53,58%47%,20 of 3240 of 74,1 of 20 of 1,50%0%,00,00,0:250:45,,,,,,
UFC Freedom 250,Justin Gaethje vs. Ilia Topuria,Total,Ilia Topuria,,,,,,,,,,29 of 5832 of 68,50%47%,19 of 4830 of 65,7 of 72 of 2,3 of 30 of 1,25 of 5328 of 62
UFC Freedom 250,Justin Gaethje vs. Ilia Topuria,Total,Ilia Topuria,,,,,,,,,,44 of 6012 of 35,73%34%,19 of 3011 of 32,24 of 291 of 3,1 of 10 of 0,29 of 3911 of 32
UFC Freedom 250,Justin Gaethje vs. Ilia Topuria,Total,Ilia Topuria,,,,,,,,,,7 of 1522 of 36,46%61%,5 of 1219 of 32,2 of 32 of 3,0 of 01 of 1,3 of 1016 of 30
UFC Freedom 250,Justin Gaethje vs. Ilia Topuria,Total,Ilia Topuria,,,,,,,,,,17 of 2925 of 53,58%47%,12 of 2219 of 46,4 of 63 of 4,1 of 13 of 3,11 of 2318 of 43
UFC Freedom 250,Ciryl Gane vs. Alex Pereira,Total,Alex Pereira,01,12 of 3354 of 86,36%62%,12 of 3354 of 86,0 of 00 of 2,---0%,00,00,0:000:12,,,,,,
UFC Freedom 250,Ciryl Gane vs. Alex Pereira,Total,Alex Pereira,00,11 of 2623 of 45,42%51%,11 of 2623 of 45,0 of 00 of 1,---0%,00,00,0:000:00,,,,,,
UFC Freedom 250,Ciryl Gane vs. Alex Pereira,Total,Alex Pereira,01,1 of 731 of 41,14%75%,1 of 731 of 41,0 of 00 of 1,---0%,00,00,0:000:12,,,,,,
UFC Freedom 250,Ciryl Gane vs. Alex Pereira,Total,Alex Pereira,,,,,,,,,,11 of 2623 of 45,42%51%,2 of 1310 of 32,1 of 34 of 4,8 of 109 of 9,11 of 2623 of 45
UFC Freedom 250,Ciryl Gane vs. Alex Pereira,Total,Alex Pereira,,,,,,,,,,1 of 731 of 41,14%75%,1 of 729 of 39,0 of 00 of 0,0 of 02 of 2,1 of 713 of 21
UFC Freedom 250,Sean O'Malley vs. Aiemann Zahabi,Total,Sean O'Malley,10,41 of 8132 of 56,50%57%,41 of 8132 of 56,0 of 00 of 0,------,00,00,0:020:00,,,,,,
UFC Freedom 250,Sean O'Malley vs. Aiemann Zahabi,Total,Sean O'Malley,00,14 of 358 of 16,40%50%,14 of 358 of 16,0 of 00 of 0,------,00,00,0:000:00,,,,,,
UFC Freedom 250,Sean O'Malley vs. Aiemann Zahabi,Total,Sean O'Malley,10,27 of 4624 of 40,58%60%,27 of 4624 of 40,0 of 00 of 0,------,00,00,0:020:00,,,,,,
UFC Freedom 250,Sean O'Malley vs. Aiemann Zahabi,Total,Sean O'Malley,,,,,,,,,,14 of 358 of 16,40%50%,7 of 223 of 10,6 of 120 of 0,1 of 15 of 6,14 of 358 of 16
UFC Freedom 250,Sean O'Malley vs. Aiemann Zahabi,Total,Sean O'Malley,,,,,,,,,,27 of 4624 of 40,58%60%,25 of 443 of 15,1 of 10 of 0,1 of 121 of 25,27 of 4624 of 40
UFC Freedom 250,Josh Hokit vs. Derrick Lewis,Total,Josh Hokit,10,86 of 1177 of 40,73%17%,105 of 1388 of 41,2 of 30 of 1,66%0%,10,00,4:040:00,,,,,,
UFC Freedom 250,Josh Hokit vs. Derrick Lewis,Total,Josh Hokit,00,41 of 551 of 5,74%20%,54 of 691 of 5,2 of 20 of 0,100%---,10,00,3:010:00,,,,,,
UFC Freedom 250,Josh Hokit vs. Derrick Lewis,Total,Josh Hokit,10,45 of 626 of 35,72%17%,51 of 697 of 36,0 of 10 of 1,0%0%,00,00,1:030:00,,,,,,
UFC Freedom 250,Josh Hokit vs. Derrick Lewis,Total,Josh Hokit,,,,,,,,,,41 of 551 of 5,74%20%,32 of 441 of 4,4 of 60 of 0,5 of 50 of 1,11 of 181 of 5
UFC Freedom 250,Josh Hokit vs. Derrick Lewis,Total,Josh Hokit,,,,,,,,,,45 of 626 of 35,72%17%,42 of 594 of 33,3 of 32 of 2,0 of 00 of 0,28 of 423 of 29
