fighter_name,fighter_url,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,recent_fights_count,fight_0_date,fight_0_event,fight_0_method,fight_0_opponent,fight_0_result,fight_0_round,fight_1_date,fight_1_event,fight_1_method,fight_1_opponent,fight_1_result,fight_1_round,fight_2_date,fight_2_event,fight_2_method,fight_2_opponent,fight_2_result,fight_2_round,fight_3_date,fight_3_event,fight_3_method,fight_3_opponent,fight_3_result,fight_3_round,fight_4_date,fight_4_event,fight_4_method,fight_4_opponent,fight_4_result,fight_4_round,fight_5_date,fight_5_event,fight_5_method,fight_5_opponent,fight_5_result,fight_5_round,fight_6_date,fight_6_event,fight_6_method,fight_6_opponent,fight_6_result,fight_6_round,fight_7_date,fight_7_event,fight_7_method,fight_7_opponent,fight_7_result,fight_7_round,fight_8_date,fight_8_event,fight_8_method,fight_8_opponent,fight_8_result,fight_8_round,fight_9_date,fight_9_event,fight_9_method,fight_9_opponent,fight_9_result,fight_9_round
Dricus Du Plessis,http://www.ufcstats.com/fighter-details/0d7b51c9d2649a6e,5.18,48,4.33,52,2.22,51,34,0.7,10,"Aug. 16, 2025",UFC 319: Du Plessis vs. Chimaev,,Khamzat Chimaev,loss,5,"Feb. 08, 2025",UFC 312: Du Plessis vs. Strickland 2,,Sean Strickland,win,5,"Aug. 17, 2024",UFC 305: Du Plessis vs. Adesanya,,Israel Adesanya,win,4,"Jan. 20, 2024",UFC 297: Strickland vs. Du Plessis,,Sean Strickland,win,5,"Jul. 08, 2023",UFC 290: Volkanovski vs. Rodriguez,KO/TKO,Robert Whittaker,win,2,"Mar. 04, 2023",UFC 285: Jones vs. Gane,KO/TKO,Derek Brunson,win,2,"Dec. 10, 2022",UFC 282: Blachowicz vs. Ankalaev,,Darren Till,win,3,"Jul. 02, 2022",UFC 276: Adesanya vs. Cannonier,,Brad Tavares,win,3,"Jul. 10, 2021",UFC 264: Poirier vs. McGregor 3,KO/TKO,Trevin Giles,win,2,"Oct. 10, 2020",UFC Fight Night: Moraes vs. Sandhagen,KO/TKO,Markus Perez,win,1
Kamaru Usman,http://www.ufcstats.com/fighter-details/f1b2aa7853d1ed6e,4.16,51,2.67,55,2.79,44,89,0.1,19,"Jun. 14, 2025",UFC Fight Night: Usman vs. Buckley,,Joaquin Buckley,win,5,"Oct. 21, 2023",UFC 294: Makhachev vs. Volkanovski 2,,Khamzat Chimaev,loss,3,"Mar. 18, 2023",UFC 286: Edwards vs. Usman 3,,Leon Edwards,loss,5,"Aug. 20, 2022",UFC 278: Usman vs. Edwards,KO/TKO,Leon Edwards,loss,5,"Nov. 06, 2021",UFC 268: Usman vs. Covington 2,,Colby Covington,win,5,"Apr. 24, 2021",UFC 261: Usman vs. Masvidal 2,KO/TKO,Jorge Masvidal,win,2,"Feb. 13, 2021",UFC 258: Usman vs. Burns,KO/TKO,Gilbert Burns,win,3,"Jul. 11, 2020",UFC 251: Usman vs. Masvidal,,Jorge Masvidal,win,5,"Dec. 14, 2019",UFC 245: Usman vs. Covington,KO/TKO,Colby Covington,win,5,"Mar. 02, 2019",UFC 235: Jones vs. Smith,,Tyron Woodley,win,5
Jared Cannonier,http://www.ufcstats.com/fighter-details/13a0275fa13c4d26,4.42,49,4.35,56,0.54,40,64,0.0,20,"Aug. 16, 2025",UFC 319: Du Plessis vs. Chimaev,,Michael Page,loss,3,"Feb. 15, 2025",UFC Fight Night: Cannonier vs. Rodrigues,KO/TKO,Gregory Rodrigues,win,4,"Aug. 24, 2024",UFC Fight Night: Cannonier vs. Borralho,,Caio Borralho,loss,5,"Jun. 08, 2024",UFC Fight Night: Cannonier vs. Imavov,KO/TKO,Nassourdine Imavov,loss,4,"Jun. 17, 2023",UFC Fight Night: Vettori vs. Cannonier,,Marvin Vettori,win,5,"Dec. 17, 2022",UFC Fight Night: Cannonier vs. Strickland,,Sean Strickland,win,5,"Jul. 02, 2022",UFC 276: Adesanya vs. Cannonier,,Israel Adesanya,loss,5,"Feb. 12, 2022",UFC 271: Adesanya vs. Whittaker 2,KO/TKO,Derek Brunson,win,2,"Aug. 21, 2021",UFC Fight Night: Cannonier vs. Gastelum,,Kelvin Gastelum,win,5,"Oct. 24, 2020",UFC 254: Khabib vs. Gaethje,,Robert Whittaker,loss,3
Christian Leroy Duncan,http://www.ufcstats.com/fighter-details/a93f94c923c3a9cb,4.43,57,2.59,52,0.33,16,63,0.0,9,"Mar. 21, 2026",UFC Fight Night: Evloev vs. Murphy,,Roman Dolidze,win,3,"Nov. 08, 2025",UFC Fight Night: Bonfim vs. Brown,KO/TKO,Marco Tulio,win,2,"Aug. 09, 2025",UFC Fight Night: Dolidze vs. Hernandez,KO/TKO,Eryk Anders,win,1,"Mar. 22, 2025",UFC Fight Night: Edwards vs. Brady,,Andrey Pulyaev,win,3,"Jul. 27, 2024",UFC 304: Edwards vs. Muhammad 2,,Gregory Rodrigues,loss,3,"Mar. 02, 2024",UFC Fight Night: Rozenstruik vs. Gaziev,KO/TKO,Claudio Ribeiro,win,2,"Nov. 18, 2023",UFC Fight Night: Allen vs. Craig,KO/TKO,Denis Tiuliulin,win,2,"Jun. 17, 2023",UFC Fight Night: Vettori vs. Cannonier,,Armen Petrosyan,loss,3,"Mar. 18, 2023",UFC 286: Edwards vs. Usman 3,KO/TKO,Dusko Todorovic,win,1,,,,,,
Chase Hooper,http://www.ufcstats.com/fighter-details/971246648e162f0d,4.50,49,3.02,39,2.43,32,55,2.1,14,"Mar. 28, 2026",UFC Fight Night: Adesanya vs. Pyfer,KO/TKO,Lance Gibson Jr.,loss,1,"Aug. 16, 2025",UFC 319: Du Plessis vs. Chimaev,KO/TKO,Alexander Hernandez,loss,1,"Apr. 12, 2025",UFC 314: Volkanovski vs. Lopes,,Jim Miller,win,3,"Dec. 07, 2024",UFC 310: Pantoja vs. Asakura,,Clay Guida,win,1,"May. 11, 2024",UFC Fight Night: Lewis vs. Nascimento,,Viacheslav Borshchev,win,2,"Nov. 18, 2023",UFC Fight Night: Allen vs. Craig,,Jordan Leavitt,win,1,"May. 20, 2023",UFC Fight Night: Dern vs. Hill,,Nick Fiore,win,3,"Oct. 29, 2022",UFC Fight Night: Kattar vs. Allen,KO/TKO,Steve Garcia,loss,1,"May. 21, 2022",UFC Fight Night: Holm vs. Vieira,KO/TKO,Felipe Colares,win,3,"Jun. 12, 2021",UFC 263: Adesanya vs. Vettori 2,,Steven Peterson,loss,3
Mitch Ramirez,http://www.ufcstats.com/fighter-details/e99eb0ef25885de5,3.51,44,3.98,37,0.59,33,25,0.0,3,"Jul. 12, 2025",UFC Fight Night: Lewis vs. Teixeira,KO/TKO,Mike Davis,loss,2,"Mar. 16, 2024",UFC Fight Night: Tuivasa vs. Tybura,KO/TKO,Thiago Moises,loss,3,"Aug. 29, 2023",DWCS 7.4,KO/TKO,Carlos Prates,loss,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabatha Ricci,http://www.ufcstats.com/fighter-details/d25240135aee03e5,4.00,37,4.83,57,2.51,37,65,0.1,11,"Apr. 04, 2026",UFC Fight Night: Moicano vs. Duncan,,Virna Jandiroba,loss,3,"Jul. 26, 2025",UFC Fight Night: Whittaker vs. De Ridder,KO/TKO,Amanda Ribas,win,2,"Nov. 23, 2024",UFC Fight Night: Yan vs. Figueiredo,,Yan Xiaonan,loss,3,"Aug. 24, 2024",UFC Fight Night: Cannonier vs. Borralho,,Angela Hill,win,3,"May. 11, 2024",UFC Fight Night: Lewis vs. Nascimento,,Tecia Pennington,win,3,"Nov. 11, 2023",UFC 295: Prochazka vs. Pereira,,Loopy Godinez,loss,3,"Jun. 24, 2023",UFC Fight Night: Emmett vs. Topuria,,Gillian Robertson,win,3,"Mar. 04, 2023",UFC 285: Jones vs. Gane,,Jessica Penne,win,2,"May. 21, 2022",UFC Fight Night: Holm vs. Vieira,,Polyana Viana,win,3,"Oct. 23, 2021",UFC Fight Night: Costa vs. Vettori,,Maria Oliveira,win,3
Fatima Kline,http://www.ufcstats.com/fighter-details/745fa7b605f8e2da,5.01,50,2.71,57,2.02,58,50,0.0,4,"Nov. 15, 2025",UFC 322: Della Maddalena vs. Makhachev,,Angela Hill,win,3,"Jul. 12, 2025",UFC Fight Night: Lewis vs. Teixeira,KO/TKO,Melissa Martinez,win,3,"Jan. 11, 2025",UFC Fight Night: Dern vs. Ribas 2,KO/TKO,Viktoriia Dudakova,win,2,"Jul. 13, 2024",UFC Fight Night: Namajunas vs. Cortez,,Jasmine Jasudavicius,loss,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy McMillen,http://www.ufcstats.com/fighter-details/6b0a6def604de298,9.87,53,5.54,58,0.00,0,83,0.0,2,"Apr. 04, 2026",UFC Fight Night: Moicano vs. Duncan,KO/TKO,Manolo Zecchini,win,1,"Sep. 02, 2025",DWCS 9.4,,David Mgoyan,win,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Montes,http://www.ufcstats.com/fighter-details/a112097ad877a48f,5.26,60,4.44,60,0.00,0,77,6.8,2,"Mar. 07, 2026",UFC 326: Holloway vs. Oliveira 2,,Ricky Turcios,win,2,"Oct. 01, 2024",DWCS 8.8,,Carlos Calderon,win,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
