fighter_name,first_name,last_name,nickname,fighter_url,height,weight,reach,stance,wins,losses,draws
Tom Aaron,Tom,Aaron,,http://www.ufcstats.com/fighter-details/93fe7332d16c6ad9,--,155 lbs.,--,,5,3,0
Danny Abbadi,Danny,Abbadi,The Assassin,http://www.ufcstats.com/fighter-details/15df64c02b6b0fde,"5' 11""",155 lbs.,--,Orthodox,4,6,0
Nariman Abbasov,Nariman,Abbasov,Bayraktar,http://www.ufcstats.com/fighter-details/59a9d6dac61c2540,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0
Darion Abbey,Darion,Abbey,,http://www.ufcstats.com/fighter-details/4961467134abd8be,"6' 2""",265 lbs.,"80.0""",Orthodox,9,5,0
David Abbott,David,Abbott,Tank,http://www.ufcstats.com/fighter-details/b361180739bed4b0,"6' 0""",265 lbs.,--,Switch,10,15,0
Hamdy Abdelwahab,Hamdy,Abdelwahab,The Hammer,http://www.ufcstats.com/fighter-details/3329d692aea4dc28,"6' 2""",265 lbs.,"72.0""",Southpaw,7,1,0
Farida Abdueva,Farida,Abdueva,,http://www.ufcstats.com/fighter-details/8f3837b4c06f3d1e,--,115 lbs.,--,,6,1,0
Mansur Abdul-Malik,Mansur,Abdul-Malik,,http://www.ufcstats.com/fighter-details/841695e02c99a521,"6' 2""",185 lbs.,"80.0""",Orthodox,9,1,1
Shamil Abdurakhimov,Shamil,Abdurakhimov,Abrek,http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0
Hiroyuki Abe,Hiroyuki,Abe,Abe Ani,http://www.ufcstats.com/fighter-details/c0ed7b208197e8de,"5' 6""",145 lbs.,--,Orthodox,8,15,3
Daichi Abe,Daichi,Abe,,http://www.ufcstats.com/fighter-details/5140122c3eecd307,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0
